# frequency channel 204 = 159.3750 MHz
# all phases in degrees 
# ANT AMP_XX PHASE_XX AMP_YY PHASE_YY AMP_XY PHASE_XY AMP_YX PHASE_YX
163 44.908 34.022 29.322 34.022 0.00 0.00 0.00 0.00
164 69.563 1.669 41.057 1.669 0.00 0.00 0.00 0.00
165 30.828 -3.589 29.740 -3.589 0.00 0.00 0.00 0.00
166 38.571 40.563 29.254 40.563 0.00 0.00 0.00 0.00
167 33.267 -27.693 29.950 -27.693 0.00 0.00 0.00 0.00
168 49.375 -13.026 78.188 -13.026 0.00 0.00 0.00 0.00
169 31.458 18.298 36.831 18.298 0.00 0.00 0.00 0.00
170 59.269 -21.440 69.122 -21.440 0.00 0.00 0.00 0.00
171 32.129 -42.576 24.681 -42.576 0.00 0.00 0.00 0.00
172 41.711 -31.074 25.646 -31.074 0.00 0.00 0.00 0.00
173 30.858 29.167 36.109 29.167 0.00 0.00 0.00 0.00
174 26.121 -2.252 25.653 -2.252 0.00 0.00 0.00 0.00
175 72.850 26.515 42.195 26.515 0.00 0.00 0.00 0.00
176 31.691 25.548 26.267 25.548 0.00 0.00 0.00 0.00
177 28.275 -35.736 32.697 -35.736 0.00 0.00 0.00 0.00
178 24.631 -14.079 21.574 -14.079 0.00 0.00 0.00 0.00
179 34.937 -19.440 25.307 -19.440 0.00 0.00 0.00 0.00
180 24.900 38.765 25.504 38.765 0.00 0.00 0.00 0.00
181 32.960 32.844 33.115 32.844 0.00 0.00 0.00 0.00
182 31.116 13.886 25.125 13.886 0.00 0.00 0.00 0.00
183 56.718 66.277 36.261 66.277 0.00 0.00 0.00 0.00
184 72.299 -20.750 24.506 -20.750 0.00 0.00 0.00 0.00
185 27.437 10.513 23.676 10.513 0.00 0.00 0.00 0.00
186 27.380 21.956 32.361 21.956 0.00 0.00 0.00 0.00
187 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
188 45.875 4.096 28.137 4.096 0.00 0.00 0.00 0.00
189 29.277 -6.178 25.610 -6.178 0.00 0.00 0.00 0.00
190 27.690 2.275 20.494 2.275 0.00 0.00 0.00 0.00
191 31.935 37.445 30.436 37.445 0.00 0.00 0.00 0.00
192 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
193 34.675 8.234 27.241 8.234 0.00 0.00 0.00 0.00
194 53.744 20.820 37.222 20.820 0.00 0.00 0.00 0.00
195 44.353 9.329 31.259 9.329 0.00 0.00 0.00 0.00
196 28.181 53.112 25.556 53.112 0.00 0.00 0.00 0.00
197 42.352 -77.030 25.642 -77.030 0.00 0.00 0.00 0.00
198 36.062 18.510 35.487 18.510 0.00 0.00 0.00 0.00
199 49.163 -9.901 30.891 -9.901 0.00 0.00 0.00 0.00
200 38.528 -0.260 31.029 -0.260 0.00 0.00 0.00 0.00
201 35.819 15.088 25.720 15.088 0.00 0.00 0.00 0.00
202 32.768 -17.106 21.492 -17.106 0.00 0.00 0.00 0.00
203 87.300 -12.350 37.810 -12.350 0.00 0.00 0.00 0.00
204 32.782 -50.487 25.722 -50.487 0.00 0.00 0.00 0.00
205 29.612 13.536 24.949 13.536 0.00 0.00 0.00 0.00
206 29.048 56.731 31.125 56.731 0.00 0.00 0.00 0.00
207 54.209 58.926 36.522 58.926 0.00 0.00 0.00 0.00
208 30.868 23.169 26.751 23.169 0.00 0.00 0.00 0.00
209 41.047 -20.159 33.838 -20.159 0.00 0.00 0.00 0.00
210 39.297 7.083 28.437 7.083 0.00 0.00 0.00 0.00
211 31.705 -23.158 29.229 -23.158 0.00 0.00 0.00 0.00
212 39.681 -20.674 28.804 -20.674 0.00 0.00 0.00 0.00
213 39.678 -3.581 24.433 -3.581 0.00 0.00 0.00 0.00
214 34.483 -17.112 38.205 -17.112 0.00 0.00 0.00 0.00
215 32.717 25.275 25.828 25.275 0.00 0.00 0.00 0.00
216 42.297 20.415 38.175 20.415 0.00 0.00 0.00 0.00
217 45.405 -2.174 38.435 -2.174 0.00 0.00 0.00 0.00
218 33.454 -15.614 52.383 -15.614 0.00 0.00 0.00 0.00
219 40.843 -27.623 39.680 -27.623 0.00 0.00 0.00 0.00
220 44.885 11.519 40.310 11.519 0.00 0.00 0.00 0.00
221 52.911 -15.046 36.746 -15.046 0.00 0.00 0.00 0.00
222 35.065 17.148 28.793 17.148 0.00 0.00 0.00 0.00
223 35.233 -18.955 33.497 -18.955 0.00 0.00 0.00 0.00
224 40.918 -22.931 31.939 -22.931 0.00 0.00 0.00 0.00
225 32.281 4.529 28.020 4.529 0.00 0.00 0.00 0.00
226 56.707 -25.399 38.269 -25.399 0.00 0.00 0.00 0.00
227 34.633 -16.856 30.770 -16.856 0.00 0.00 0.00 0.00
228 68.575 10.070 48.744 10.070 0.00 0.00 0.00 0.00
229 0.000 0.000 0.000 0.000 0.00 0.00 0.00 0.00
230 37.070 11.556 23.875 11.556 0.00 0.00 0.00 0.00
231 43.721 28.927 24.432 28.927 0.00 0.00 0.00 0.00
232 39.744 -12.673 20.148 -12.673 0.00 0.00 0.00 0.00
233 33.803 31.410 35.011 31.410 0.00 0.00 0.00 0.00
234 39.846 -30.931 29.239 -30.931 0.00 0.00 0.00 0.00
235 26.812 23.764 30.081 23.764 0.00 0.00 0.00 0.00
